source,name,disposition,flag_confirmed,planet_class,ra,dec,pl_rade,pl_masse,pl_density,pl_orbper,pl_insol,pl_eqt,st_teff,st_logg,st_rad,stellar_flux_proxy,distance_pc,mag
Kepler,Kepler-227 b,CONFIRMED,1,Unknown,291934230.0,48141651.0,,,,9488035570.0,93.59,793.0,5455.0,4.467,0.927,760919104251310.9,,15.347
Kepler,K00753.01,CANDIDATE,0,Neptune+,297004820.0,48134129.0,14.6,105.83529217808108,0.18749095458936738,19899139950.0,39.3,638.0,5853.0,4.544,0.868,884206181641195.6,,15.436
Kepler,K00754.01,FALSE POSITIVE,0,Neptune+,285534610.0,48285210.0,33.46,219.57496602790783,0.03231568668914669,1736952453.0,891.96,1395.0,5805.0,4.564,0.791,710496369804232.0,,15.597
Kepler,Kepler-664 b,CONFIRMED,1,Unknown,288754880.0,48226200.0,,,,2525591777.0,926.16,1406.0,6031.0,4.438,1.046,1447507034452689.2,,15.509
Kepler,Kepler-228 d,CONFIRMED,1,Unknown,296286130.0,48224670.0,,,,11094320540.0,114.81,835.0,6046.0,4.486,0.972,1262423589798023.0,,15.714
Kepler,K00114.01,FALSE POSITIVE,0,Neptune+,298864350.0,42151569.0,39.21,252.45804874850796,0.023089103409609457,7361789580.0,767.22,1342.0,6227.0,3.986,,,,12.66
Kepler,Kepler-229 c,CONFIRMED,1,Unknown,286999480.0,48375790.0,,,,16068646740.0,30.75,600.0,5031.0,4.485,0.848,460690199962252.9,,15.841
Kepler,Kepler-1 b,CONFIRMED,1,Unknown,286808470.0,49316399.0,,,,2470613377.0,761.46,1339.0,5820.0,4.457,0.964,1066217991041640.9,,11.338
Kepler,Kepler-2 b,CONFIRMED,1,Unknown,292247280.0,47969521.0,,,,2204735417.0,4148.92,2048.0,6440.0,,,,,10.463
Kepler,Kepler-8 b,CONFIRMED,1,Neptune+,281288120.0,42451080.0,14.59,105.77149842084555,0.18776349289697866,3522498429.0,1264.67,1521.0,6225.0,4.169,,,,13.563
Kepler,Kepler-466 c,CONFIRMED,1,Unknown,295648710.0,48495560.0,,,,3709214104.0,500.46,1206.0,5833.0,4.407,1.022,1209120814193410.2,,12.772
Kepler,K00742.01,FALSE POSITIVE,0,Neptune+,297079930.0,47597401.0,150.51,824.6269290933429,0.0013334287672698585,11521446064.0,75.88,753.0,5795.0,4.554,0.848,810971264079271.8,,15.472
Kepler,K00743.01,FALSE POSITIVE,0,Unknown,289258210.0,47635319.0,,,,19403937760.0,17.69,523.0,5043.0,4.591,0.68,299070583501589.6,,15.487
Kepler,K00744.01,FALSE POSITIVE,0,Neptune+,295814540.0,47690350.0,49.29,308.76478308254696,0.01421541948952348,19221388942.0,55.97,698.0,6117.0,4.496,0.947,1255607438801377.2,,15.341
Kepler,K00745.01,FALSE POSITIVE,0,Unknown,297154420.0,47668701.0,,,,16469837740.0,29.61,595.0,5152.0,4.517,0.786,435259751212605.5,,15.788
Kepler,Kepler-660 b,CONFIRMED,1,Unknown,288138240.0,47724449.0,,,,9273581730.0,41.85,649.0,4856.0,4.583,0.696,269360054647906.34,,15.302
Kepler,Kepler-661 b,CONFIRMED,1,Unknown,283710880.0,47863270.0,,,,6029303290.0,50.04,678.0,4537.0,4.648,0.672,191343477743123.47,,15.784
Kepler,K00748.01,FALSE POSITIVE,0,Unknown,283765470.0,47804298.0,,,,2696370652.0,305.34,1066.0,4989.0,4.504,0.819,415548595966312.75,,15.269
Kepler,Kepler-226 c,CONFIRMED,1,Unknown,292376130.0,47880989.0,,,,5349553819.0,168.99,919.0,5185.0,4.44,0.91,598518842743702.6,,15.416
Kepler,K00113.01,FALSE POSITIVE,0,Neptune+,292273740.0,37671558.0,41.5,265.3886376900654,0.020471346510039692,386603052800.0,,297.0,5543.0,,,,,12.394
Kepler,Kepler-662 b,CONFIRMED,1,Unknown,290465120.0,47929180.0,,,,21676991930.0,18.64,530.0,4954.0,4.5,0.828,412937840791187.7,,15.377
Kepler,Kepler-663 b,CONFIRMED,1,Unknown,297808260.0,47946671.0,,,,4996779680.0,166.95,917.0,5339.0,4.552,0.847,582916708695222.2,,15.861
Kepler,Kepler-671 b,CONFIRMED,1,Unknown,294265810.0,49314091.0,,,,4280963604.0,247.87,1012.0,5644.0,4.564,0.831,700728962163848.5,,15.356
Kepler,K00770.01,FALSE POSITIVE,0,Unknown,295665220.0,49351009.0,,,,1506354090.0,1054.12,1452.0,5714.0,4.563,0.831,736144364550045.1,,15.525
Kepler,K00771.01,FALSE POSITIVE,0,Neptune+,296698610.0,49316479.0,14.14,102.8952863995505,0.2006576059880796,670645531000.0,0.35,196.0,5520.0,4.466,0.983,897146457455370.2,,15.207
Kepler,K00772.01,FALSE POSITIVE,0,Neptune+,283725920.0,49479519.0,39.87,256.1938424498243,0.02228631963150156,61256362800.0,15.43,505.0,6144.0,4.402,1.091,1696111228567815.0,,15.25
Kepler,Kepler-672 b,CONFIRMED,1,Unknown,291722020.0,49480869.0,,,,38377548600.0,18.53,529.0,5481.0,4.369,1.036,968631791873517.2,,15.172
Kepler,Kepler-665 b,CONFIRMED,1,Unknown,297025630.0,48478588.0,,,,16013084190.0,29.31,593.0,5015.0,4.499,0.826,431562642903170.1,,15.39
