"kepid","kepoi_name","kepler_name","koi_disposition","koi_pdisposition","koi_score","koi_fpflag_nt","koi_fpflag_ss","koi_fpflag_co","koi_fpflag_ec","koi_period","koi_time0bk","koi_impact","koi_duration","koi_depth","koi_prad","koi_teq","koi_insol","koi_model_snr","koi_tce_plnt_num","koi_tce_delivname","koi_steff","koi_slogg","koi_srad","ra","dec","koi_kepmag"
"10797460","K00752.01","Kepler-227 b","CONFIRMED","CANDIDATE","Jan.00","0","0","0","0","9488035 570","1705387 500","0.1460","295 750","6.16E+6","Feb.26","793.0","93.59","35.80","1","q1_q17_dr25_tce","5455.00","4.467","0.9270","291934 230","48141 651","15.347"
"10797460","K00752.02","Kepler-227 c","CONFIRMED","CANDIDATE","0.9690","0","0","0","0","54418382 700","1625138 400","0.5860","450 700","8.75E+6","Feb.83","443.0","09.Nov","25.80","2","q1_q17_dr25_tce","5455.00","4.467","0.9270","291934 230","48141 651","15.347"
"10811496","K00753.01","","CANDIDATE","CANDIDATE","0.0000","0","0","0","0","19899139 950","1758502 520","0.9690","178 220","1.08E+8","14.60","638.0","39.30","76.30","1","q1_q17_dr25_tce","5853.00","4.544","0.8680","297004 820","48134 129","15.436"
"10848459","K00754.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","0","1","0","0","1736952 453","1703075 650","Jan.60","240 641","8.08E+7","33.46","1395.0","891.96","505.60","1","q1_q17_dr25_tce","5805.00","4.564","0.7910","285534 610","48285 210","15.597"
"10854555","K00755.01","Kepler-664 b","CONFIRMED","CANDIDATE","Jan.00","0","0","0","0","2525591 777","1715955 500","0.7010","165 450","6.03E+6","Feb.75","1406.0","926.16","40.90","1","q1_q17_dr25_tce","6031.00","4.438","1.0460","288754 880","48226 200","15.509"
"10872983","K00756.01","Kepler-228 d","CONFIRMED","CANDIDATE","Jan.00","0","0","0","0","11094320 540","1712011 600","0.5380","459 450","1.52E+7","Mar.90","835.0","114.81","66.50","1","q1_q17_dr25_tce","6046.00","4.486","0.9720","296286 130","48224 670","15.714"
"10872983","K00756.02","Kepler-228 c","CONFIRMED","CANDIDATE","Jan.00","0","0","0","0","4134435 120","1729793 700","0.7620","314 020","6.86E+6","Feb.77","1160.0","427.65","40.20","2","q1_q17_dr25_tce","6046.00","4.486","0.9720","296286 130","48224 670","15.714"
"10872983","K00756.03","Kepler-228 b","CONFIRMED","CANDIDATE","0.9920","0","0","0","0","2566588 970","1795543 700","0.7550","242 900","2.26E+6","Jan.59","1360.0","807.74","15.00","3","q1_q17_dr25_tce","6046.00","4.486","0.9720","296286 130","48224 670","15.714"
"6721123","K00114.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","0","1","1","0","7361789 580","1322505 300","1.1690","502 200","2.34E+6","39.21","1342.0","767.22","47.70","1","q1_q17_dr25_tce","6227.00","3.986","Jan.80","298864 350","42151 569","12.660"
"10910878","K00757.01","Kepler-229 c","CONFIRMED","CANDIDATE","Jan.00","0","0","0","0","16068646 740","1736219 370","0.0520","353 470","4.91E+7","May.76","600.0","30.75","161.90","1","q1_q17_dr25_tce","5031.00","4.485","0.8480","286999 480","48375 790","15.841"
