"pl_name","hostname","default_flag","disposition","disp_refname","sy_snum","sy_pnum","discoverymethod","disc_year","disc_facility","soltype","pl_controv_flag","pl_refname","pl_orbper","pl_orbsmax","pl_rade","pl_radj","pl_bmasse","pl_bmassj","pl_bmassprov","pl_orbeccen","pl_insol","pl_eqt","ttv_flag","st_refname","st_spectype","st_teff","st_rad","st_mass","st_met","st_metratio","st_logg","sy_refname","rastr","ra","decstr","dec","sy_dist","sy_vmag","sy_kmag","sy_gaiamag","rowupdate","pl_pubdate","releasedate"
"BD+20 594 b","BD+20 594","0","CONFIRMED","Espinoza et al. 2016","1","1","Transit","2016","K2","Published Confirmed","0","<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>","4168864400 000","","235545 351","0.21013949","","","","","","","0","<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>","","5703.00","0.956122","0.963861","-0.0600","[Fe/H]","4380 000","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","03h34m36.27s","536511 231","+20d35m56.47s","205990 205","17946100 000","108490 000","93680 000","108644 000","25.04.2018","2018-03","15.02.2018"
"BD+20 594 b","BD+20 594","0","CONFIRMED","Espinoza et al. 2016","1","1","Transit","2016","K2","Published Confirmed","0","<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>","4168550000 000","0.2410000000","223000 000","0.19894727","1630000 000","0.05128528","Mass","0.000000","","546.00","0","<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>","G","5766.00","0.928000","0.961000","-0.1500","[Fe/H]","4500 000","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","03h34m36.27s","536511 231","+20d35m56.47s","205990 205","17946100 000","108490 000","93680 000","108644 000","25.04.2018","2016-10","28.07.2016"
"BD+20 594 b","BD+20 594","1","CONFIRMED","Espinoza et al. 2016","1","1","Transit","2016","K2","Published Confirmed","0","<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>","4168550000 000","","257807 000","0.23000000","2224810 000","0.07000000","Mass","0.000000","","","0","<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>","","5766.00","1080 000","1670 000","-0.1500","[Fe/H]","4500 000","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","03h34m36.27s","536511 231","+20d35m56.47s","205990 205","17946100 000","108490 000","93680 000","108644 000","25.04.2018","2017-03","26.04.2018"
"EPIC 201111557.01","EPIC 201111557","1","CANDIDATE","Livingston et al. 2018","1","0","Transit","2018","K2","Published Candidate","0","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","230183000 000","","112000 000","0.09990000","","","","","","1054.00","0","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","","4616.52","0.762602","0.730000","-0.0300","[M/H]","4536 790","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","12h15m23.10s","1838462 454","-06d16m05.98s","-62683 289","9717950 000","117270 000","92200 000","113995 000","02.08.2018","2018-08","02.08.2018"
"EPIC 201111557.01","EPIC 201111557","0","CANDIDATE","Livingston et al. 2018","1","0","Transit","2018","K2","Published Candidate","0","<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>","230236800 000","","131258 765","0.12000000","","","","","","","0","<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>","","4720.00","0.710995","","-0.0600","[Fe/H]","4500 000","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","12h15m23.10s","1838462 454","-06d16m05.98s","-62683 289","9717950 000","117270 000","92200 000","113995 000","15.02.2018","2018-03","15.02.2018"
"EPIC 201126503.01","EPIC 201126503","1","CANDIDATE","Vanderburg et al. 2016","1","0","Transit","2016","K2","Published Candidate","0","<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>","119474880 000","","419000 000","0.37380676","","","","","","","0","<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>","","3919.00","0.570000","","","","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","11h43m45.26s","1759385 954","-05d52m24.09s","-58733 592","29006200 000","192100 000","142300 000","178892 000","05.12.2015","2016-01","05.12.2015"
"EPIC 201127519.01","EPIC 201127519","0","CANDIDATE","Livingston et al. 2018","1","0","Transit","2018","K2","Published Candidate","0","<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>","617836900 000","","991257 877","0.88000000","","","","","","","0","<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>","","5015.00","0.789478","","0.2400","[Fe/H]","4670 000","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","12h05m29.23s","1813718 091","-05d50m53.79s","-58482 738","11770400 000","117330 000","94300 000","114806 000","15.02.2018","2018-03","15.02.2018"
"EPIC 201127519.01","EPIC 201127519","1","CANDIDATE","Livingston et al. 2018","1","0","Transit","2018","K2","Published Candidate","0","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","617887000 000","","884000 000","0.78900000","","","","","","772.00","0","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","","4719.28","0.849432","0.756000","0.2130","[M/H]","4458 330","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","12h05m29.23s","1813718 091","-05d50m53.79s","-58482 738","11770400 000","117330 000","94300 000","114806 000","02.08.2018","2018-08","02.08.2018"
"EPIC 201147085.01","EPIC 201147085","1","CANDIDATE","Kruse et al. 2019","1","0","Transit","2019","K2","Published Candidate","0","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","117589000 000","","0.86000000","0.07700000","","","","","","","0","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","","","0.309000","","","","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","11h35m36.64s","1739026 640","-05d21m52.60s","-53646 120","16658440 000","166400 000","113970 000","","05.09.2019","2019-09","05.09.2019"
"EPIC 201152065.01","EPIC 201152065","1","CANDIDATE","Kruse et al. 2019","1","0","Transit","2019","K2","Published Candidate","0","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","1069660000 000","","145000 000","0.12900000","","","","","","","0","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","","","0.588000","","","","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","11h32m10.39s","1730432 884","-05d14m49.80s","-52471 672","21229100 000","143460 000","114300 000","139562 000","05.09.2019","2019-09","05.09.2019"
