"toi","tid","tfopwg_disp","rastr","ra","decstr","dec","st_pmra","st_pmdec","pl_tranmid","pl_orbper","pl_trandurh","pl_trandep","pl_rade","pl_insol","pl_eqt","st_tmag","st_dist","st_teff","st_logg","st_rad","toi_created","rowupdate"
"1000.01","50365310","FP","07h29m25.85s","1123577 080","-12d41m45.46s","-126959 600","-59640 000","-0.0760000","24592296300 460","21713 484","20172 196","6568860 989","58181 633","226019485 814","31272040 524","96040 000","4857350 000","102490000 000","41900 000","21698 600","24.07.2019 15:58","09.09.2024 10:08"
"1001.01","88863718","PC","08h10m19.31s","1225804 650","-05d30m49.87s","-55138 520","-49560 000","-155550 000","24599879488 730","19316 462","31660 000","12860000 000","112154 000","444645000 000","40450000 000","94234 400","2958620 000","70700000 000","40300 000","20100 000","24.07.2019 15:58","03.04.2023 14:31"
"1002.01","124709665","FP","06h58m54.47s","1047269 660","-10d34m49.64s","-105804 550","-14620 000","-22490 000","24592246878 020","18675 574","14080 000","15000000 000","237529 000","28606100 000","20370000 000","92995 010","9431090 000","89240000 000","","57300 000","24.07.2019 15:58","11.07.2022 16:02"
"1003.01","106997505","FP","07h22m14.39s","1105599 450","-25d12m25.26s","-252070 170","-0.9390000","16400 000","24584933957 000","27432 300","31670 000","3834100 000","","11773600 000","16310000 000","93003 000","77281700 000","53885000 000","41500 000","","24.07.2019 15:58","23.02.2022 10:10"
"1004.01","238597883","FP","08h08m42.77s","1221781 950","-48d48m10.12s","-488028 110","-44960 000","93470 000","24599870472 620","35730 141","33700 000","7550000 000","113113 000","546793000 000","42600000 000","91355 000","3564370 000","92190000 000","41400 000","21500 000","24.07.2019 15:58","09.09.2024 10:08"
"1005.01","169904935","FP","08h02m49.15s","1207048 110","-11d06m05.48s","-111015 210","-269320 000","-29010 000","24599851568 550","45505 945","26540 000","37310000 000","71084 100","4147750 000","12570000 000","91309 000","1007110 000","56130000 000","","10900 000","24.07.2019 15:58","08.07.2025 10:08"
"1006.01","156115721","FP","08h17m26.22s","1243592 390","-27d16m24.68s","-272735 210","-291000 000","-68000 000","24592299845 790","25047 918","43797 563","22705402 194","86950 898","17509326 350","16498220 699","92386 000","","66160000 000","","15342 900","24.07.2019 15:58","29.10.2021 12:59"
"1007.01","65212867","PC","07h31m00.57s","1127523 930","-04d27m48.09s","-44633 590","0.3570000","33990 000","24592479306 950","69989 206","39530 000","28400000 000","147752 000","4487440 000","12820000 000","88775 900","2832910 000","65960000 000","37100 000","27000 000","24.07.2019 15:58","29.10.2021 12:59"
"1008.01","440801822","FP","07h17m31.88s","1093828 390","+13d23m42.79s","133952 190","-179000 000","13000 000","24602582361 220","20483 755","27670 000","4830000 000","31962 100","56444000 000","","89362 000","1442970 000","68585000 000","42000 000","15700 000","24.07.2019 15:58","08.12.2023 16:02"
"1009.01","107782586","PC","07h26m40.28s","1116678 450","-24d27m43.6s","-244621 110","-32970 000","48490 000","24592292309 240","19600 277","20065 257","17076272 693","","10633422 958","14564246 534","84331 000","8661470 000","88687000 000","","","24.07.2019 15:58","17.01.2024 10:08"
"101.01","231663901","KP","21h14m56.88s","3187370 120","-55d52m18.71s","-558718 630","126410 000","-160110 000","24583260091 170","14303 699","16165 994","189607122 944","131874 503","12812408 254","15259048 089","124069 000","3753100 000","56000000 000","44885 100","0.8907740","05.09.2018 18:49","06.09.2024 10:08"
"1010.01","139853601","FP","07h29m10.56s","1122939 810","-21d49m58.48s","-218329 120","-57460 000","45020 000","24592288781 010","0.6808702","24634 563","15078006 889","59115 908","871406995 884","43820266 062","84508 600","4851220 000","94380000 000","","10000 000","24.07.2019 15:58","29.10.2021 12:59"
"1011.01","114018671","PC","07h35m56.34s","1139847 610","-32d50m31.2s","-328419 990","1451020 000","-1349010 000","24599846277 680","24704 981","21910 000","2500000 000","14465 600","5755970 000","13640000 000","82388 000","526200 000","54137000 000","44600 000","0.9400000","24.07.2019 15:58","22.03.2023 16:02"
"1012.01","427508467","APC","07h48m22.87s","1170952 850","+06d47m06.23s","67850 640","-29900 000","-0.0290000","24592525095 950","0.8841820","16210 000","18900000 000","248132 000","1121440000 000","50980000 000","81271 800","2959590 000","89280000 000","39200 000","27200 000","24.07.2019 15:58","10.03.2023 12:02"
"1013.01","97700520","FP","07h09m08.66s","1072860 630","-31d56m00.68s","-319335 230","-39730 000","70610 000","24592322483 220","54255 548","39637 474","149396342 222","","2735880 696","10372753 045","76095 000","5102950 000","88687000 000","","","24.07.2019 15:58","29.10.2021 12:59"
"1014.01","96246348","FP","06h54m14.78s","1035616 020","-34d13m22.15s","-342228 200","-130630 000","97370 000","24599856570 410","14095 184","0.9484999","28415103 258","","16504220 710","16256180 218","76780 000","2246720 000","93070000 000","","","24.07.2019 15:58","20.11.2023 10:08"
"1015.01","155044736","FP","08h11m35.03s","1228959 640","-27d58m18.83s","-279718 960","15660 000","-179740 000","24599636100 650","13730 466","25708 515","13015065 338","421479 417","31606328 329","19123318 636","107069 000","9064960 000","48970000 000","","67996 101","01.04.2019 16:51","20.12.2023 16:02"
"1016.01","175310067","FP","07h44m26.59s","1161107 710","-36d05m53.83s","-360982 850","-92310 000","116140 000","24592388311 380","126889 415","79201 001","32328527 885","140608 342","4251594 177","11581310 368","106257 000","3686460 000","76010000 000","43100 000","15364 100","01.04.2019 16:52","09.09.2024 10:08"
"1017.01","182943944","FP","08h18m54.34s","1247264 110","-37d46m59.7s","-377832 500","-112780 000","95930 000","24585189653 600","11042 200","23700 000","141777000 000","210448 000","394593000 000","39260000 000","106019 000","4069970 000","69952000 000","40700 000","16100 000","24.07.2019 17:08","29.10.2021 12:59"
